,Hit Points,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,Winner
1919,-10,8,65,-5,-5,-45,0,1
1920,-39,-85,-38,-75,-28,-46,-1,1
1921,15,2,-6,27,-6,21,0,0
1922,-24,-35,-16,-1,-11,20,0,0
1923,19,-12,15,70,45,-2,0,1
1924,11,56,2,25,-10,-18,0,1
1925,9,-22,25,55,45,18,0,0
1926,60,38,-12,36,6,35,0,0
1927,22,8,25,85,75,30,0,0
1928,-5,-15,-57,-35,-50,-25,0,1
1929,-53,-92,-76,8,5,28,0,1
1930,39,10,80,60,0,-110,0,1
1931,0,30,0,-5,-25,0,0,1
1932,17,25,80,5,30,53,0,0
1933,-20,35,15,-15,15,90,1,0
1934,45,55,158,25,23,-40,0,1
1935,-25,-30,0,0,0,-25,0,1
1936,40,10,102,-7,55,-11,0,1
1937,-20,-45,22,-47,30,-40,0,0
1938,20,-15,50,90,65,15,0,0
1939,10,-7,7,48,12,-8,0,1
1940,10,-5,30,55,75,50,0,0
1941,30,5,16,90,41,55,0,0
1942,15,37,5,37,-10,-50,0,1
1943,-10,-15,25,10,25,-25,0,1
1944,15,45,120,-5,20,-10,0,1
1945,-13,-76,-29,-6,21,-7,0,1
1946,0,-50,55,0,0,-35,0,1
1947,30,-13,-40,55,15,74,0,0
1948,-40,-40,-90,40,10,40,0,0
1949,45,10,-10,-45,55,20,0,0
1950,-35,-5,-85,-65,-20,35,0,0
1951,-13,10,0,0,-10,-37,0,1
1952,10,40,45,15,30,-10,1,1
1953,-28,-66,-21,12,-4,43,0,0
1954,-36,-96,-51,20,-60,-8,0,1
1955,5,2,-15,28,-15,-10,0,1
1956,-25,-10,-25,-32,-17,-36,-1,1
1957,0,-57,-62,13,-12,10,0,0
1958,24,-12,9,31,7,63,0,0
1959,71,45,43,-12,48,-40,0,0
1960,39,65,32,55,17,-4,0,1
1961,5,-70,10,12,18,10,0,0
1962,-19,-49,-20,50,-20,50,0,1
1963,69,-45,3,30,35,-5,0,1
1964,0,5,-27,-18,-5,41,0,1
1965,37,103,-20,2,-30,-2,0,1
1966,-7,13,30,-69,-57,-23,0,1
1967,15,40,-30,-50,-15,35,0,0
1968,26,27,17,10,15,-18,0,1
1969,-20,-4,-55,-64,-5,68,0,0
1970,20,30,-100,-15,-115,-15,0,1
1971,0,-8,-13,12,17,-6,0,1
1972,15,35,-15,-45,-20,38,0,0
1973,-69,-21,-49,-41,-59,58,0,1
1974,-66,-53,-18,-27,-32,6,0,0
1975,-5,-15,-110,-55,-10,15,0,0
1976,30,-30,10,20,10,-35,0,1
1977,10,-45,-5,-70,-25,-70,0,1
1978,-155,113,65,-18,-60,25,0,0
1979,-20,-30,-18,-10,-13,-56,0,1
1980,-75,-60,-40,5,25,25,0,1
1981,-55,-80,-30,-15,-25,50,0,1
1982,31,50,-25,154,50,30,1,0
1983,20,45,30,-80,0,-65,0,1
1984,34,-44,-11,5,15,-20,0,1
1985,-30,-45,-15,-45,-15,-50,-1,1
1986,0,2,47,-53,-8,-36,0,1
1987,10,25,72,55,7,16,0,0
1988,30,-20,15,95,60,35,0,0
1989,-5,10,-70,-35,-52,-3,0,1
1990,15,55,25,-5,-20,15,0,0
1991,60,45,90,-20,25,-10,0,1
1992,165,-83,-45,5,80,0,0,1
1993,-34,19,0,-40,-60,10,0,1
1994,-2,49,52,-12,-12,49,0,0
1995,-41,90,-86,50,-86,73,0,0
1996,15,30,22,-50,-13,-55,0,1
1997,24,0,-47,25,13,32,0,0
1998,-10,-80,-10,-50,-10,10,0,0
1999,-22,32,-31,-24,-12,21,0,0
2000,-31,-20,112,-32,-12,18,0,0
2001,-15,-45,-23,-5,-25,2,0,0
2002,20,60,90,-10,20,10,0,0
2003,-5,-30,-25,50,10,35,0,0
2004,0,-20,10,0,10,-40,0,1
2005,-10,-30,30,30,90,50,0,1
2006,0,-40,1,-40,-24,20,0,0
2007,-56,-99,-55,-65,-45,-30,0,1
2008,-29,-15,-10,-5,-10,-1,0,1
2009,2,22,17,-16,1,-50,0,1
2010,-15,27,-95,-11,-25,50,0,0
2011,-8,34,55,15,35,-31,0,1
2012,16,-19,-18,51,42,13,0,0
2013,-56,-38,-82,-25,-104,-55,-1,1
2014,11,5,-46,39,-41,35,0,1
2015,16,21,37,41,47,3,0,0
2016,-20,-24,-55,-34,-60,20,0,0
2017,-46,-57,-40,-24,-33,-18,0,0
2018,32,-4,13,2,8,-49,0,1
2019,38,60,25,10,15,32,0,0
2020,-1,-21,-25,17,0,-3,0,1
2021,10,28,-20,-13,-15,10,0,0
2022,25,35,35,80,35,5,0,0
2023,11,-7,-25,-40,-35,-66,-1,1
2024,20,20,-55,20,-10,25,0,0
2025,15,71,9,19,61,80,0,0
2026,-11,2,3,4,9,-36,0,1
2027,0,-15,12,95,62,76,0,0
2028,19,2,-3,2,7,-49,0,0
2029,-41,-110,-20,-69,-60,-110,-1,1
2030,-10,-15,5,10,-10,15,0,0
2031,38,38,-48,-29,21,24,0,0
2032,18,37,65,74,38,-14,1,1
2033,50,-15,-50,-40,-50,-20,0,1
2034,0,-32,-52,-14,-49,-13,0,1
2035,90,18,-6,28,-6,40,0,0
2036,-45,-10,5,-5,-20,-20,0,1
2037,-35,-10,-10,20,-10,-40,0,1
2038,-30,-10,-55,-85,-55,-50,0,1
2039,-7,30,20,0,0,-80,0,1
2040,-8,16,-21,-5,-20,-77,0,1
2041,-35,-24,-6,-96,-44,15,-1,0
2042,-59,-105,160,-115,150,-106,-1,1
2043,13,62,56,47,45,12,0,0
2044,-10,-17,12,-42,13,-21,0,1
2045,0,15,67,75,77,36,0,0
2046,38,31,10,21,5,56,0,0
2047,10,5,17,-20,17,-75,0,1
2048,25,-42,-35,8,45,-13,0,1
2049,26,47,8,67,74,-27,1,1
2050,-15,20,-15,-15,-15,-83,0,0
2051,2,-45,-14,-20,-14,0,0,1
2052,50,-34,10,5,20,29,1,0
2053,10,-20,-25,17,-7,35,0,0
2054,38,-15,-16,15,-6,32,0,0
2055,10,-45,-60,45,-60,30,-1,0
2056,35,65,30,85,30,85,1,0
2057,40,35,-50,45,-25,35,1,0
2058,55,115,74,20,30,11,0,0
2059,-22,-47,-30,0,10,0,0,1
2060,26,36,33,41,19,0,0,1
2061,27,-10,14,33,0,17,0,0
2062,-23,84,35,79,10,10,1,0
2063,-6,-3,0,3,3,1,0,0
2064,15,17,17,64,54,70,0,0
2065,-21,-50,5,-20,-20,-130,0,1
2066,45,0,20,60,30,15,1,0
2067,10,-55,0,-50,0,0,0,1
2068,-19,-30,-28,-124,-65,-65,0,1
2069,0,-45,-34,65,-30,-11,0,1
2070,-18,3,85,12,85,17,0,0
2071,30,39,32,9,50,84,0,0
2072,25,-35,-15,40,25,-20,0,1
2073,47,75,14,55,9,55,0,0
2074,-40,-12,-10,-20,-10,-69,0,1
2075,-190,70,70,-16,-72,3,0,0
2076,-20,-20,46,-7,-7,28,0,0
2077,-9,4,-8,-35,-15,7,0,0
2078,20,24,30,-31,-25,-54,0,0
2079,-10,27,47,97,67,57,0,0
2080,-45,-65,-36,-3,-22,4,0,0
2081,-5,-5,-5,-13,-5,19,0,0
2082,-24,-2,52,-2,52,-12,0,1
2083,26,56,9,46,-26,70,1,1
2084,-35,2,-47,-55,-65,-25,0,1
2085,-14,38,5,-28,-5,50,0,0
2086,-28,-40,-30,-135,-95,-45,0,1
2087,-30,-20,-65,10,-25,-25,0,1
2088,-4,-26,116,-31,86,-51,0,1
2089,16,80,30,90,30,84,1,0
2090,-80,-65,-51,-135,-61,-53,-1,1
2091,0,3,-50,10,25,77,1,0
2092,75,18,-27,36,11,42,0,0
2093,-56,-102,-27,-148,-79,-80,-1,1
2094,5,-5,5,5,10,-35,0,1
2095,11,31,-31,26,-16,87,0,0
2096,-4,-23,-12,7,-12,62,0,0
2097,-20,-13,-185,19,-50,40,0,0
2098,5,-62,5,-14,25,-20,0,1
2099,8,15,-16,-25,-32,10,0,0
2100,-21,20,0,-42,-30,-9,0,1
2101,25,45,38,45,18,30,0,0
2102,-27,-60,-30,10,-50,-28,0,1
2103,-30,-67,-35,-47,-30,10,0,0
2104,31,27,-18,-13,5,18,0,0
2105,22,80,50,-5,45,13,0,0
2106,-16,-21,-18,-68,-104,-20,0,1
2107,-10,-85,-60,5,-25,-35,0,1
2108,3,25,5,30,-25,25,0,0
2109,0,32,-25,-5,-45,9,0,0
2110,-2,15,26,1,0,45,1,0
2111,29,13,28,-8,27,6,0,0
2112,-52,-42,2,-57,-13,-9,0,1
2113,0,0,5,0,0,-40,0,1
2114,-26,-52,-24,-17,-19,4,0,0
2115,-26,38,69,-23,5,61,0,0
2116,-17,-45,78,-30,10,-53,0,1
2117,-6,42,-11,-33,-26,-22,0,1
2118,-22,23,-7,-23,-15,-47,0,1
2119,5,-10,25,-5,-5,-25,0,1
2120,22,34,60,5,15,-15,0,1
2121,-25,5,62,-25,32,-66,0,1
2122,18,65,30,40,45,87,0,0
2123,-40,-28,52,35,52,31,0,0
2124,0,30,100,-15,5,5,0,0
2125,0,-8,13,0,-15,-10,0,1
2126,20,55,30,19,50,62,0,0
2127,-15,-40,-40,-85,-30,2,-1,0
2128,16,-14,-60,33,-43,55,0,0
2129,46,26,-11,66,4,100,1,0
2130,-5,16,40,53,80,-8,0,1
2131,-20,-100,-145,-20,-15,-25,0,1
2132,10,24,-21,26,-33,11,0,0
2133,0,-20,0,-50,-20,10,-1,0
2134,-3,-30,-110,-75,-60,45,0,1
2135,-5,-5,-5,-80,15,10,-1,0
2136,30,50,45,77,35,48,0,0
2137,-35,-30,-15,-80,-25,20,0,0
2138,20,85,10,20,60,110,0,0
2139,33,50,27,45,25,-5,0,1
2140,-23,-35,-10,-90,-70,-70,0,1
2141,20,22,50,47,35,61,0,0
2142,-10,-52,-25,-77,-50,60,0,0
2143,0,-55,30,45,30,-75,0,1
2144,-15,12,-70,44,-20,40,0,0
2145,-5,-20,65,-30,0,35,0,0
2146,-55,15,35,-80,-100,-40,0,1
2147,-3,-3,-3,15,-23,5,0,0
2148,-15,-47,2,-70,2,-49,-1,1
2149,45,-25,-46,15,10,61,0,1
2150,20,20,50,-5,-5,-20,0,1
2151,-25,-18,2,-36,-16,-47,0,1
2152,34,130,45,-7,48,-5,0,1
2153,5,25,30,105,10,90,0,0
2154,-20,62,47,22,7,15,0,0
2155,5,43,15,-13,-15,-15,0,1
2156,5,4,20,-35,0,-24,0,1
2157,43,50,48,85,28,56,0,0
2158,-15,-3,-10,-23,-60,-22,0,1
2159,20,50,30,-6,13,13,0,0
2160,-65,-30,-45,20,-35,30,0,0
2161,25,-60,-15,-120,-40,0,-1,1
2162,10,18,23,-15,15,2,0,0
2163,-106,-82,-61,-59,-21,-48,-1,1
2164,15,65,-35,-90,0,20,0,0
2165,-24,-55,-110,5,1,55,0,1
2166,29,-24,-72,26,-2,13,0,0
2167,-10,-6,26,25,50,-10,0,1
2168,10,-7,26,0,6,-13,0,1
2169,-38,15,19,-25,-21,35,0,0
2170,50,77,67,77,67,80,1,0
2171,-10,-44,-35,-7,-10,7,0,0
2172,-5,-2,-22,-129,-54,-90,0,1
2173,2,49,27,-31,-3,-13,0,1
2174,-35,105,0,-80,0,-35,0,0
2175,-5,10,0,-45,-35,20,0,0
2176,0,50,-10,5,-10,5,0,0
2177,-36,-26,-17,-31,-30,-30,0,1
2178,0,15,60,10,20,-75,0,1
2179,-50,-50,-5,-60,-50,-65,0,1
2180,20,5,20,-5,-45,-40,0,1
2181,-48,-20,8,-32,-6,22,0,0
2182,-30,-15,-55,-40,-55,20,0,0
2183,-17,-60,-16,15,29,-5,0,1
2184,20,17,15,22,20,-50,0,1
2185,94,-5,40,35,35,-5,0,1
2186,-55,-70,-40,45,-10,-30,0,1
2187,-20,-85,-25,-75,-80,-45,0,1
2188,27,-25,30,30,-20,33,0,0
2189,10,-25,-60,-50,-25,-30,0,1
2190,-5,-20,-15,-10,-25,-35,0,1
2191,40,75,55,50,50,-20,1,1
2192,-26,57,31,-22,48,42,0,0
2193,-14,-29,42,3,-5,14,0,0
2194,40,1,-20,-49,-10,-17,0,1
2195,35,45,15,45,25,25,0,0
2196,15,57,10,95,25,-22,0,1
2197,-10,-25,4,35,4,-20,0,1
2198,-15,-35,-5,-45,-40,-110,0,1
2199,30,0,11,15,51,38,0,0
2200,0,-25,-25,-80,-35,-55,-1,1
2201,50,10,15,-30,-5,-30,0,1
2202,40,81,45,31,-5,54,1,0
2203,-3,-43,17,26,27,-12,0,1
2204,-25,10,10,10,5,-20,0,1
2205,50,45,55,100,20,10,0,0
2206,5,20,-50,30,0,30,0,0
2207,-75,-90,-55,-35,-55,-75,-1,1
2208,-15,-35,-45,-72,-45,-80,-1,1
2209,91,76,55,81,48,9,1,0
2210,-50,20,-36,5,-26,-3,0,1
2211,13,52,29,-19,13,61,0,0
2212,0,-25,-10,-25,40,-10,0,1
2213,-210,20,5,10,-70,10,0,0
2214,-21,-32,-40,-74,-40,-83,0,1
2215,36,-29,-30,-19,-30,17,0,0
2216,9,34,18,14,8,90,0,0
2217,-23,20,58,53,19,22,1,0
2218,36,23,87,15,80,30,1,0
2219,15,70,25,-60,0,40,0,0
2220,-205,40,85,-35,-85,-20,0,1
2221,21,-2,12,44,1,-9,0,1
2222,10,22,47,-25,25,-69,0,1
2223,-60,-105,150,-55,175,-88,0,1
2224,-46,-75,-73,-75,-2,-38,-1,1
2225,32,28,2,22,18,18,0,0
2226,5,20,5,-5,-10,-10,0,1
2227,-50,-140,-60,-115,-55,-80,-1,1
2228,-4,12,-68,-38,20,93,0,0
2229,35,68,25,24,45,70,1,0
2230,5,5,40,-70,-30,-35,0,1
2231,20,17,45,60,50,15,0,0
2232,18,37,38,29,34,-92,0,0
2233,15,-5,30,20,0,-50,0,1
2234,-30,15,20,15,5,40,1,0
2235,5,35,65,5,60,13,0,0
2236,0,-34,-60,-24,-25,8,0,0
2237,-10,-13,-40,-25,0,-17,0,1
2238,-37,-68,-45,-5,-25,-42,0,1
2239,-15,-5,20,15,5,-5,0,1
2240,5,10,0,20,30,60,0,0
2241,-5,-26,15,4,35,-4,0,1
2242,-32,-13,66,-67,-6,-79,0,1
2243,12,-30,-1,-6,35,-10,-1,1
2244,-41,-2,10,-89,-50,-78,0,1
2245,-15,30,30,-40,-100,-40,0,1
2246,20,60,90,55,60,-15,0,1
2247,6,24,35,-13,40,-7,1,1
2248,0,-43,7,-43,32,9,0,0
2249,6,-55,-5,10,25,-11,-1,1
2250,-5,-13,77,-13,7,-81,0,1
2251,-15,30,-10,-10,-15,-10,0,1
2252,35,-30,27,35,-30,43,0,0
2253,-5,-45,-45,-150,-50,-55,0,1
2254,-15,-20,-15,-30,-25,-45,0,1
2255,5,-20,9,60,8,44,1,0
2256,5,-25,0,-35,10,-16,0,1
2257,-55,-95,-71,-60,-71,-28,0,1
2258,40,-10,-25,-5,5,10,0,0
2259,-14,47,30,-60,-10,-78,0,1
2260,-26,-2,-30,-64,-25,7,0,0
2261,-45,-89,-51,-35,-50,-130,0,1
2262,9,43,2,23,-58,-4,0,1
2263,-25,-30,-20,-25,-15,80,0,0
2264,35,-5,-85,80,-30,0,0,1
2265,5,50,-85,85,-85,105,1,0
2266,18,-5,3,-15,3,-35,0,1
2267,-2,-35,-2,52,84,-20,0,1
2268,45,45,65,15,35,90,1,0
2269,-20,-27,0,-82,-65,-10,0,1
2270,-1,75,-5,3,-77,-5,0,1
2271,19,-32,-11,13,25,33,0,0
2272,-25,-5,-36,-75,-36,-48,0,1
2273,12,5,-14,20,-14,5,0,0
2274,-5,-25,-23,-15,-33,-14,0,1
2275,-15,-35,-10,80,35,65,0,0
2276,34,40,-16,0,-16,18,0,0
2277,25,-10,-10,-40,-90,-10,-1,1
2278,-20,-10,-40,45,-15,50,0,0
2279,60,-10,10,25,50,40,0,0
2280,-15,-10,-20,-15,-15,35,0,0
2281,25,2,22,23,43,60,0,0
2282,0,-3,58,22,17,-14,0,1
2283,109,96,55,45,15,50,0,0
2284,9,33,17,63,36,52,0,0
2285,-5,-20,-11,0,-21,-35,0,1
2286,55,78,40,73,70,71,1,0
2287,-56,45,30,-37,-10,61,0,0
2288,-25,-30,-140,40,-5,150,1,1
2289,15,77,30,-13,-15,43,0,0
2290,20,30,30,50,75,20,0,0
2291,-46,-51,-15,-51,-18,-19,-1,1
2292,-15,85,-55,125,-35,65,1,0
2293,43,76,39,86,-36,27,0,0
2294,-30,15,0,-15,-40,70,0,0
2295,40,46,49,-40,-10,25,0,0
2296,-15,-17,-40,47,-5,30,0,0
2297,-40,-70,-80,-60,-50,-50,-1,1
2298,10,25,25,-32,-35,-35,0,1
2299,-3,-20,18,50,15,50,0,0
2300,5,-99,40,-130,50,-53,-1,1
2301,20,20,-5,10,45,75,0,0
2302,25,-32,-3,11,-11,4,0,0
2303,45,0,25,-25,15,45,1,0
2304,-35,-63,-33,-78,-43,-51,0,1
2305,0,-50,-10,45,70,45,0,0
2306,25,115,10,115,-5,10,0,0
2307,25,30,-25,90,-40,45,1,0
2308,49,35,35,-30,-15,-65,0,1
2309,0,-65,-125,-20,10,-50,0,1
2310,18,-1,36,24,43,9,0,0
2311,-14,-49,-3,-69,-23,-87,-1,1
2312,30,-20,-5,-20,-20,-15,0,1
2313,8,6,-59,21,-39,3,0,0
2314,40,-53,48,45,20,-50,0,1
2315,15,-75,-40,-10,-35,-15,0,1
2316,-25,-25,-25,-80,5,-40,0,1
2317,16,16,40,105,40,80,0,0
2318,32,-5,14,75,24,-70,0,1
2319,-10,-5,5,-10,-40,0,0,1
2320,-62,-50,-75,-80,-75,-78,-1,1
2321,-33,19,6,-82,-58,32,-1,0
2322,-10,105,-65,80,-65,35,1,0
2323,5,30,-5,35,10,10,0,0
2324,-15,44,-12,-26,-19,-7,0,1
2325,21,33,26,0,19,12,0,0
2326,-15,-45,65,10,55,-55,0,1
2327,-35,-70,-60,5,-30,-55,0,1
2328,-50,-25,-15,-85,-25,5,0,0
2329,-30,-65,-35,-45,-45,-70,0,1
2330,-19,-105,-43,-43,-51,1,0,0
2331,-20,-25,-45,-120,5,-60,0,1
2332,2,-9,-27,5,5,-8,0,1
2333,32,-34,-33,-3,-19,-12,0,1
2334,17,-3,-13,-13,-17,-14,0,1
2335,-2,54,32,8,48,92,0,0
2336,-25,-34,-3,-6,25,-23,-1,1
2337,-48,-52,-58,-33,-37,-17,0,1
2338,14,29,-7,29,13,47,0,0
2339,2,-52,-31,-17,-25,-32,0,1
2340,-73,-110,-71,-80,-41,-37,0,1
2341,15,15,-12,-45,-27,-1,0,1
2342,20,-5,-100,20,-85,0,-1,1
2343,-46,-41,-12,-72,-16,-40,0,1
2344,0,-10,-85,-35,-25,-5,0,1
2345,50,3,-33,-38,-74,-10,0,1
2346,15,15,15,2,-5,53,0,0
2347,5,-9,-25,16,-20,4,0,0
2348,-10,-5,-110,15,-110,15,0,0
2349,-20,-35,25,-20,-20,-15,0,1
2350,-10,0,40,-30,10,-65,0,1
2351,10,-20,140,-5,-5,-65,0,1
2352,5,-53,-25,-15,-25,44,0,0
2353,-15,-16,-13,-34,-31,-5,0,1
2354,0,28,30,-10,30,-9,0,1
2355,25,-35,-70,40,20,-20,0,1
2356,-37,-30,-5,-100,-65,-83,0,1
2357,-65,-63,-25,-30,-15,-20,0,1
2358,11,33,35,48,35,39,0,0
2359,-21,8,48,-25,-5,-38,0,1
2360,-1,77,182,-2,33,-4,0,1
2361,-34,-63,0,-28,-30,-42,0,1
2362,40,-25,-11,20,-1,10,0,0
2363,-43,-51,-30,4,-30,-35,0,1
2364,-25,-20,5,50,30,0,0,1
2365,64,-14,1,21,21,2,0,0
2366,-50,-60,-35,25,-35,-20,0,1
2367,65,105,-40,90,55,20,1,1
2368,30,49,14,33,-2,56,0,0
2369,-39,-102,-65,-94,-32,-33,-1,1
2370,-15,-15,-65,-15,-15,-15,0,1
2371,15,-5,41,20,41,35,0,0
2372,-15,-90,-18,-100,-18,16,0,1
2373,-30,-17,8,-47,-12,-81,0,1
2374,-30,-10,20,-30,0,50,0,0
2375,-30,-100,-35,-30,0,-35,0,1
2376,-8,15,50,-25,5,-6,0,1
2377,-18,15,-18,30,15,-8,0,1
2378,65,2,-10,3,35,-55,0,0
2379,39,72,33,29,87,-11,1,1
2380,-23,-35,-28,39,14,-21,0,1
2381,10,15,-8,35,-8,51,0,0
2382,-30,-35,20,75,20,-50,0,1
2383,20,18,18,-47,13,-16,0,1
2384,11,1,5,-7,-2,-1,0,1
2385,15,-25,-15,60,-15,-5,0,1
2386,4,-17,-28,18,-28,51,0,0
2387,-80,-90,-45,-85,-80,-20,-1,1
2388,-11,-35,-15,15,25,-41,-1,1
2389,22,-5,-5,-85,-75,-40,0,1
2390,-9,-57,-27,-67,-37,-81,-1,1
2391,24,0,-120,5,-5,-39,0,1
2392,5,-18,15,-40,-50,-67,0,1
2393,0,30,36,0,-9,0,0,1
2394,-55,-65,-40,-75,-40,-40,0,1
2395,-35,40,-25,45,-25,65,1,0
2396,-23,-12,-69,10,40,40,0,0
2397,-75,-30,-50,-10,-20,5,-1,0
2398,2,30,60,-5,-10,-15,0,1
2399,-45,-86,-35,-76,-35,-14,0,1
2400,-1,-26,-45,-26,-45,-33,0,1
2401,8,-3,-31,-47,-63,13,0,0
2402,-10,65,15,90,25,15,0,0
2403,49,35,-40,10,20,-15,0,1
2404,-5,-20,6,-5,1,11,0,0
2405,32,29,-3,-10,-10,-25,0,1
2406,-13,-19,-23,83,24,60,0,1
2407,40,65,25,70,25,15,0,0
2408,28,65,50,60,20,-38,0,1
2409,-65,-110,-55,-5,-45,-70,-1,1
2410,15,30,10,-15,-5,-70,0,1
2411,-30,-35,9,-40,-57,-41,0,1
2412,-35,-22,-10,-35,0,-73,0,1
2413,30,30,20,85,20,40,1,0
2414,49,18,-37,-8,7,21,0,0
2415,-20,-24,20,25,-25,19,0,0
2416,-40,-75,-65,-59,-63,-33,0,1
2417,-40,10,-25,80,-15,55,0,0
2418,60,65,30,0,-5,-15,1,1
2419,-30,-73,-30,-5,-30,-47,0,1
2420,-2,46,-41,46,-36,37,0,0
2421,-3,-82,-6,-12,0,-7,0,1
2422,1,-28,-28,-1,-11,-71,-1,1
2423,13,49,72,-22,-2,64,0,0
2424,-49,19,-35,-21,-50,28,0,1
2425,-50,-95,-92,-105,-45,-75,-1,1
2426,24,68,18,85,40,70,1,0
2427,26,6,-8,46,-14,46,0,0
2428,-7,-37,52,-32,22,-3,0,1
2429,-14,40,50,-60,10,-6,-1,1
2430,-20,-80,-85,-30,-5,-35,0,1
2431,54,-40,-5,10,10,35,0,1
2432,-31,28,-5,-49,-5,-8,0,1
2433,0,-11,19,-5,-1,-79,0,1
2434,-13,15,-1,-16,-21,40,0,0
2435,-25,-25,-25,-15,5,30,-1,0
2436,-3,-78,-10,8,-40,5,0,0
2437,30,0,-6,-25,-31,-25,0,1
2438,85,-2,18,36,36,37,0,0
2439,7,20,15,30,20,39,0,0
2440,10,15,0,0,0,45,0,0
2441,1,105,68,118,73,25,1,0
2442,-29,-64,-44,61,1,55,0,1
2443,-5,50,2,35,-15,3,0,0
2444,15,-55,-47,15,13,12,0,0
2445,53,24,40,45,35,29,0,0
2446,-11,-15,-20,10,-74,-80,-1,1
2447,-45,19,5,-28,-45,-22,0,1
2448,-30,-5,-35,55,0,-5,0,1
2449,27,24,56,55,52,3,0,0
2450,45,0,0,-10,-20,-95,0,1
2451,20,5,25,-5,15,10,0,0
2452,15,35,20,20,25,-5,0,1
2453,5,12,35,90,35,90,0,0
2454,-40,-30,-15,-30,0,-19,0,0
2455,18,37,-30,50,-20,23,0,0
2456,41,12,72,17,66,-18,0,1
2457,64,-7,12,65,55,65,0,1
2458,-4,-35,-13,-5,-13,1,0,0
2459,20,0,8,-20,-10,-50,0,1
2460,33,15,35,47,33,0,0,1
2461,5,3,-10,-17,-10,10,0,0
2462,-22,-16,-2,49,25,50,0,0
2463,-15,-40,30,-25,-35,-80,0,1
2464,-3,-10,-25,-30,-25,-27,0,1
2465,25,35,10,-15,-20,-50,0,1
2466,-17,47,-4,-23,-10,7,0,0
2467,25,43,23,-3,23,20,0,0
2468,-5,19,63,9,33,-39,0,1
2469,-50,-85,-70,-30,-50,5,-1,0
2470,20,-72,-58,-72,-58,5,0,0
2471,15,15,-10,-70,-45,-105,0,1
2472,-11,-51,0,-51,0,-63,0,1
2473,21,16,52,6,62,-52,0,1
2474,0,5,-7,15,-7,34,0,0
2475,15,130,0,-60,65,15,0,0
2476,48,106,34,21,-41,17,0,0
2477,-20,-29,-45,-10,5,46,0,0
2478,-15,-45,-47,-80,-47,-53,-1,1
2479,15,-15,-40,-5,-30,19,0,0
2480,55,155,72,135,45,100,1,1
2481,-14,-27,20,-49,-17,12,0,0
2482,-3,8,-4,-21,-83,-21,0,1
2483,-10,35,-5,45,5,20,1,0
2484,30,27,28,52,67,66,1,0
2485,-30,-50,-15,-24,-45,-87,0,1
2486,-15,27,37,4,19,-17,0,1
2487,-10,5,125,-5,-35,-40,0,1
2488,-23,-36,0,-116,-70,-55,0,1
2489,-15,-44,-23,-50,-23,-22,-1,1
2490,-20,-15,45,20,5,5,0,0
2491,11,34,11,39,6,-7,0,1
2492,40,30,55,-15,-10,-25,0,1
2493,-65,-20,-45,-70,-45,-10,0,1
2494,-10,20,40,-95,-50,-5,-1,1
2495,28,95,5,112,68,20,1,0
2496,10,-50,-40,-100,-50,-10,-1,1
2497,-35,7,27,44,64,23,0,0
2498,-5,45,15,0,20,60,0,0
2499,-5,-60,-20,0,15,-45,0,1
2500,-40,-60,-30,135,0,95,0,1
2501,15,-35,-85,40,40,25,0,0
2502,-9,-85,-31,2,-27,-32,0,1
2503,-76,-23,-24,-52,-28,16,0,0
2504,-5,5,151,-40,16,-40,0,1
2505,-51,-3,-18,-52,-42,-9,0,1
2506,25,2,23,25,20,-5,0,1
2507,55,-10,-15,-15,0,25,0,0
2508,-36,-22,-60,-22,-60,-27,0,1
2509,35,45,-4,15,6,85,0,0
2510,75,35,-100,65,35,60,1,0
2511,30,25,10,-5,10,10,0,0
2512,-25,25,0,-30,-20,-55,0,1
2513,20,15,15,60,30,40,0,0
2514,14,8,-9,31,1,0,0,1
2515,-25,-65,-45,0,-25,0,0,1
2516,-53,2,18,4,16,15,0,0
2517,5,27,-2,40,25,20,0,0
2518,-8,-25,-5,80,20,28,0,0
2519,15,5,26,-45,-30,-1,0,1
2520,-4,-115,-5,-13,-3,65,0,1
2521,5,30,-16,0,-6,45,0,0
2522,50,50,-50,50,-50,50,0,0
2523,-28,-30,-74,-40,-22,-37,-1,1
2524,35,60,98,5,33,-31,0,1
2525,-17,-21,-142,25,0,50,0,0
2526,-26,-10,6,-1,0,-49,0,1
2527,25,65,25,50,33,28,0,0
2528,-6,-2,3,10,2,-22,0,1
2529,-13,-50,3,-39,-6,-52,0,1
2530,-15,0,-8,-25,-23,25,0,0
2531,-10,-35,20,-25,20,-55,0,1
2532,-5,25,35,-30,-50,15,0,0
2533,20,20,15,20,50,50,0,0
2534,-11,33,-46,16,-46,27,0,1
2535,0,30,8,-20,-22,10,0,0
2536,21,-60,-11,25,-28,33,1,0
2537,-54,-97,-12,0,-1,-36,-1,1
2538,-4,1,145,-4,115,2,0,0
2539,-5,25,30,-30,10,-15,0,1
2540,35,90,35,90,50,35,0,0
2541,-35,2,-13,22,-13,40,0,0
2542,-26,-59,-160,-11,-40,21,0,0
2543,-25,-45,-55,20,-10,15,0,1
2544,0,35,-21,-20,-31,-80,0,1
2545,10,-15,55,-10,105,15,0,0
2546,75,25,-8,15,-8,-12,0,1
2547,21,35,25,105,35,59,1,0
2548,-15,-80,-35,120,15,85,0,1
2549,37,30,30,15,20,-32,0,1
